Receipt no,Location,Customer name,Session id,Sale date,Status,Ordertype name,Token number,Product name,Product Category,Cost Per Unit,Selling Per Unit,Quantity
BL11,Chennai,Naga,28,06/03/2020,Ordered,On Shop,0,Jeans  Levis,Casual Wear,900,1100,1
BL11,Chennai,Mahesh,28,06/03/2020,Ordered,On Shop,0,Jeans  Levis,Casual Wear,900,1100,1
BL12,Hyderabad,Ganesh,28,06/03/2020,Ordered,On Shop,0,Jeans  Levis,Casual Wear,900,1100,1
BL12,Chennai,Kumar,28,06/03/2020,Ordered,On Shop,0,Jeans  Levis,Casual Wear,900,1100,1
BL12,Bangalore,Vijay,28,06/03/2020,Ordered,On Shop,0,Jeans  Levis,Casual Wear,900,1100,1
BL12,Bangalore,Sunil,28,06/03/2020,Ordered,On Shop,0,Jeans  Levis,Casual Wear,900,1100,1
BL12,Chennai,Naga,28,06/03/2020,Ordered,On Shop,0,Jeans  Levis,Casual Wear,900,1100,2
BL13,Bangalore,Rajiv,28,06/03/2020,Ordered,On Shop,0,Jeans  Levis,Casual Wear,900,1100,1
BL13,Chennai,Mahesh,28,06/03/2020,Ordered,On Shop,0,Jeans  Levis,Casual Wear,900,1100,1
BL13,Chennai,Naga,28,06/03/2020,Ordered,On Shop,0,Jeans  Denim,Casual Wear,700,900,1
BL13,Bangalore,Mahesh,28,06/03/2020,Ordered,Online Order,0,Jeans  Denim,Casual Wear,700,900,1
BL13,Chennai,Ganesh,28,06/03/2020,Ordered,Online Order,0,Jeans  Denim,Casual Wear,700,900,1
BL14,Hyderabad,Kumar,28,06/03/2020,Ordered,Online Order,0,Jeans  Denim,Casual Wear,700,900,2
BL14,Chennai,Vijay,28,06/03/2020,Ordered,Online Order,0,Jeans  Denim,Casual Wear,700,900,1
BL14,Chennai,Sunil,28,06/03/2020,Ordered,Online Order,0,Jeans  Denim,Casual Wear,700,900,1
BL14,Hyderabad,Naga,28,06/03/2020,Ordered,Online Order,0,Jeans  Levis,Casual Wear,900,1100,1
BL15,Bangalore,Mahesh,28,06/03/2020,Ordered,Online Order,0,Jeans  Denim,Casual Wear,700,900,1
BL15,Bangalore,Ganesh,28,06/03/2020,Ordered,Online Order,0,Jeans  Levis,Casual Wear,900,1100,2
BL15,Hyderabad,Kumar,28,06/03/2020,Ordered,Online Order,0,Jeans  Levis,Casual Wear,900,1100,1
BL16,Chennai,Vijay,28,06/03/2020,Ordered,On Shop,0,Jeans  Denim,Casual Wear,700,900,1
BL16,Bangalore,Sunil,28,06/03/2020,Ordered,On Shop,0,Jeans  Denim,Casual Wear,700,900,1
BL16,Bangalore,Naga,28,06/03/2020,Ordered,On Shop,0,Jeans  Zara,Casual Wear,700,900,1
LN5,Chennai,Rajiv,28,06/03/2020,Ordered,On Shop,0,Jeans  Levis,Casual Wear,900,1100,1
LN5,Chennai,Mahesh,28,06/03/2020,Ordered,On Shop,0,Jeans  Levis,Casual Wear,900,1100,1
LN5,Bangalore,Naga,28,06/03/2020,Ordered,On Shop,0,Jeans  Zara,Casual Wear,700,900,1
LN6,Hyderabad,Mahesh,28,06/03/2020,Ordered,On Shop,0,Jeans  Denim,Casual Wear,700,900,1
LN7,Hyderabad,Ganesh,28,06/03/2020,Ordered,On Shop,0,Jeans  Zara,Casual Wear,700,900,1
LN7,Chennai,Kumar,28,06/03/2020,Ordered,On Shop,0,Jeans  Levis,Casual Wear,900,1100,1
LN7,Hyderabad,Vijay,28,06/03/2020,Ordered,On Shop,0,Jeans  Levis,Casual Wear,900,1100,1
LN8,Hyderabad,Sunil,28,06/03/2020,Ordered,On Shop,0,Jeans  Zara,Casual Wear,700,900,1
LN9,Bangalore,Naga,28,06/03/2020,Ordered,On Shop,0,Jeans  Zara,Casual Wear,700,900,1
LN10,Bangalore,Mahesh,28,06/03/2020,Ordered,On Shop,0,Jeans  Zara,Casual Wear,700,900,1
LN10,Hyderabad,Ganesh,28,06/03/2020,Ordered,On Shop,0,Jeans  Zara,Casual Wear,700,900,1
LN11,Hyderabad,Kumar,28,06/03/2020,Ordered,On Shop,0,Jeans  Zara,Casual Wear,700,900,1
LN12,Bangalore,Vijay,28,06/03/2020,Ordered,On Shop,0,Jeans  Denim,Casual Wear,700,900,1
LN12,Bangalore,Sunil,28,06/03/2020,Ordered,On Shop,0,Jeans  Denim,Casual Wear,700,900,1
LN12,Hyderabad,Naga,28,06/03/2020,Ordered,On Shop,0,Jeans  Denim,Casual Wear,700,900,1
LN12,Bangalore,Rajiv,28,06/03/2020,Ordered,On Shop,0,Jeans  Levis,Casual Wear,900,1100,1
LN12,Bangalore,Mahesh,28,06/03/2020,Ordered,On Shop,0,Jeans  Levis,Casual Wear,900,1100,1
LN13,Hyderabad,Naga,28,06/03/2020,Ordered,On Shop,0,Jeans  Lega,Casual Wear,800,1000,1
LN14,Hyderabad,Mahesh,28,06/03/2020,Ordered,On Shop,0,Jeans  Lega,Casual Wear,800,1000,1
LN14,Bangalore,Ganesh,28,06/03/2020,Ordered,On Shop,0,Jeans  Levis,Casual Wear,900,1100,1
LN14,Bangalore,Kumar,28,06/03/2020,Ordered,On Shop,0,Jeans  Lega,Casual Wear,800,1000,1
LN15,Bangalore,Vijay,28,06/03/2020,Ordered,On Shop,0,Jeans  Denim,Casual Wear,700,900,1
LN15,Bangalore,Sunil,28,06/03/2020,Ordered,On Shop,0,Jeans  Denim,Casual Wear,700,900,2
LN15,Bangalore,Naga,28,06/03/2020,Ordered,On Shop,0,Jeans  Levis,Casual Wear,900,1100,1
LN15,Bangalore,Mahesh,28,06/03/2020,Ordered,On Shop,0,Jeans  Denim,Casual Wear,700,900,1
LN16,Bangalore,Ganesh,28,06/03/2020,Ordered,On Shop,0,Jeans  Levis,Casual Wear,900,1100,1
LN16,Bangalore,Kumar,28,06/03/2020,Ordered,On Shop,0,Shirt  PE,Semi Formal,600,800,1
LN16,Hyderabad,Vijay,28,06/03/2020,Ordered,On Shop,0,Shirt  PE,Semi Formal,600,800,2
